decision,cycle,t_ms
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
TRIP,2,40.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
RESTRAIN,15,300.0
